KODJAZ,AKRCIS,KODCIS,CHODNOTA,ZKRTEXT,TEXT,ADMPLOD,ADMNEPO,MIN_TUPY,MAX_TUPY,MIN_OSTRY,MAX_OSTRY,EXPORT_DWH
CS,INTERVAL,7700,200002000001000,(-2; -1>,-2 až -1 (více než -2 a méně nebo rovno -1),1900-01-01,9999-09-09,-2,NA,NA,-1,NA
CS,INTERVAL,7700,200003000002000,(-3; -2>,-3 až -2 (více než -3 a méně nebo rovno -2),1900-01-01,9999-09-09,-3,NA,NA,-2,NA
CS,INTERVAL,7700,200005000003000,(-5; -3>,-5 až -3 (více než -5 a méně nebo rovno -3),1900-01-01,9999-09-09,-5,NA,NA,-3,NA
CS,INTERVAL,7700,200007000005000,(-7; -5>,-7 až -5 (více než -7 a méně nebo rovno -5),1900-01-01,9999-09-09,-7,NA,NA,-5,NA
CS,INTERVAL,7700,210010000007000,(-10; -7>,-10 až -7 (více než -10 a méně nebo rovno -7),1900-01-01,9999-09-09,-10,NA,NA,-7,NA
CS,INTERVAL,7700,220100010010000,(-100; -10>,-100 až -10 (více než -100 a méně nebo rovno -10),1900-01-01,9999-09-09,-100,NA,NA,-10,NA
CS,INTERVAL,7700,220101010010000,(-101; -10>,-101 až -10 (více než -101 a méně nebo rovno -10),1900-01-01,9999-09-09,-101,NA,NA,-10,NA
CS,INTERVAL,7700,261000600000000,(-1 000 000; 0),-1 000 000 až 0 (více než -1 000 000 a méně než 0),1900-01-01,9999-09-09,-1000000,0,NA,NA,NA
CS,INTERVAL,7700,263000061000000,(-3 000 000; -1 000 000>,-3 000 000 až -1 000 000 (více než -3 000 000 a méně nebo rovno -1 000 000),1900-01-01,9999-09-09,-3000000,NA,NA,-1000000,NA
CS,INTERVAL,7700,271000063000000,(-10 000 000; -3 000 000>,-10 000 000 až -3 000 000 (více než -10 000 000 a méně nebo rovno -3 000 000),1900-01-01,9999-09-09,-10000000,NA,NA,-3000000,NA
CS,INTERVAL,7700,399999400001000,(-N; 1>,Do 1 (méně nebo rovno 1),1900-01-01,9999-09-09,-99999999999999999999,NA,NA,1,NA
CS,INTERVAL,7700,399999400002000,(-N; 2>,Do 2 (méně nebo rovno 2),1900-01-01,9999-09-09,-99999999999999999999,NA,NA,2,NA
CS,INTERVAL,7700,399999400003000,(-N; 3>,Do 3 (méně nebo rovno 3),1900-01-01,9999-09-09,-99999999999999999999,NA,NA,3,NA
CS,INTERVAL,7700,399999400004000,(-N; 4>,Do 4 (méně nebo rovno 4),1900-01-01,9999-09-09,-99999999999999999999,NA,NA,4,NA
CS,INTERVAL,7700,399999400006000,(-N; 6>,Do 6 (méně nebo rovno 6),1900-01-01,9999-09-09,-99999999999999999999,NA,NA,6,NA
CS,INTERVAL,7700,399999410012000,(-N; 12>,Do 12 (méně nebo rovno 12),1900-01-01,9999-09-09,-99999999999999999999,NA,NA,12,NA
CS,INTERVAL,7700,399999410020000,(-N; 20>,Do 20 (méně nebo rovno 20),1900-01-01,9999-09-09,-99999999999999999999,NA,NA,20,NA
CS,INTERVAL,7700,399999410024000,(-N; 24>,Do 24 (méně nebo rovno 24),1900-01-01,9999-09-09,-99999999999999999999,NA,NA,24,NA
CS,INTERVAL,7700,399999410030000,(-N; 30>,Do 30 (méně nebo rovno 30),1900-01-01,9999-09-09,-99999999999999999999,NA,NA,30,NA
CS,INTERVAL,7700,399999410035000,(-N; 35>,Do 35 (méně nebo rovno 35),1900-01-01,9999-09-09,-99999999999999999999,NA,NA,35,NA
CS,INTERVAL,7700,399999410050000,(-N; 50>,Do 50 (méně nebo rovno 50),1900-01-01,9999-09-09,-99999999999999999999,NA,NA,50,NA
CS,INTERVAL,7700,399999410060000,(-N; 60>,Do 60 (méně nebo rovno 60),1900-01-01,9999-09-09,-99999999999999999999,NA,NA,60,NA
CS,INTERVAL,7700,399999410096000,(-N; 96>,Do 96 (méně nebo rovno 96),1900-01-01,9999-09-09,-99999999999999999999,NA,NA,96,NA
CS,INTERVAL,7700,399999420250000,(-N; 250>,Do 250 (méně nebo rovno 250),1900-01-01,9999-09-09,-99999999999999999999,NA,NA,250,NA
CS,INTERVAL,7700,399999431909000,(-N; 1 909>,Do 1 909 (méně nebo rovno 1 909),1900-01-01,9999-09-09,-99999999999999999999,NA,NA,1909,NA
CS,INTERVAL,7700,399999431919000,(-N; 1 919>,Do 1 919 (méně nebo rovno 1 919),1900-01-01,9999-09-09,-99999999999999999999,NA,NA,1919,NA
CS,INTERVAL,7700,399999431959000,(-N; 1 959>,Do 1 959 (méně nebo rovno 1 959),1900-01-01,9999-09-09,-99999999999999999999,NA,NA,1959,NA
CS,INTERVAL,7700,399999431960000,(-N; 1 960>,Do 1 960 (méně nebo rovno 1 960),1900-01-01,9999-09-09,-99999999999999999999,NA,NA,1960,NA
CS,INTERVAL,7700,399999431969000,(-N; 1 969>,Do 1 969 (méně nebo rovno 1 969),1900-01-01,9999-09-09,-99999999999999999999,NA,NA,1969,NA
CS,INTERVAL,7700,399999432006000,(-N; 2 006>,Do 2 006 (méně nebo rovno 2 006),1900-01-01,9999-09-09,-99999999999999999999,NA,NA,2006,NA
CS,INTERVAL,7700,399999436000000,(-N; 6 000>,Do 6 000 (méně nebo rovno 6 000),1900-01-01,9999-09-09,-99999999999999999999,NA,NA,6000,NA
CS,INTERVAL,7700,399999441000000,(-N; 10 000>,Do 10 000 (méně nebo rovno 10 000),1900-01-01,9999-09-09,-99999999999999999999,NA,NA,10000,NA
CS,INTERVAL,7700,399999600000105,"(-N; 0,5)","Do 0,5 (méně než 0,5)",1900-01-01,9999-09-09,-99999999999999999999,.5,NA,NA,NA
CS,INTERVAL,7700,399999600001000,(-N; 1),Do 1 (méně než 1),1900-01-01,9999-09-09,-99999999999999999999,1,NA,NA,NA
CS,INTERVAL,7700,399999600002000,(-N; 2),Do 2 (méně než 2),1900-01-01,9999-09-09,-99999999999999999999,2,NA,NA,NA
CS,INTERVAL,7700,399999600003000,(-N; 3),Do 3 (méně než 3),1900-01-01,9999-09-09,-99999999999999999999,3,NA,NA,NA
CS,INTERVAL,7700,399999600004000,(-N; 4),Do 4 (méně než 4),1900-01-01,9999-09-09,-99999999999999999999,4,NA,NA,NA
CS,INTERVAL,7700,399999600005000,(-N; 5),Do 5 (méně než 5),1900-01-01,9999-09-09,-99999999999999999999,5,NA,NA,NA
CS,INTERVAL,7700,399999600006000,(-N; 6),Do 6 (méně než 6),1900-01-01,9999-09-09,-99999999999999999999,6,NA,NA,NA
CS,INTERVAL,7700,399999600008000,(-N; 8),Do 8 (méně než 8),1900-01-01,9999-09-09,-99999999999999999999,8,NA,NA,NA
CS,INTERVAL,7700,399999610010000,(-N; 10),Do 10 (méně než 10),1900-01-01,9999-09-09,-99999999999999999999,10,NA,NA,NA
CS,INTERVAL,7700,399999610012000,(-N; 12),Do 12 (méně než 12),1900-01-01,9999-09-09,-99999999999999999999,12,NA,NA,NA
CS,INTERVAL,7700,399999610015000,(-N; 15),Do 15 (méně než 15),1900-01-01,9999-09-09,-99999999999999999999,15,NA,NA,NA
CS,INTERVAL,7700,399999610018000,(-N; 18),Do 18 (méně než 18),1900-01-01,9999-09-09,-99999999999999999999,18,NA,NA,NA
CS,INTERVAL,7700,399999610020000,(-N; 20),Do 20 (méně než 20),1900-01-01,9999-09-09,-99999999999999999999,20,NA,NA,NA
CS,INTERVAL,7700,399999610024000,(-N; 24),Do 24 (méně než 24),1900-01-01,9999-09-09,-99999999999999999999,24,NA,NA,NA
CS,INTERVAL,7700,399999610025000,(-N; 25),Do 25 (méně než 25),1900-01-01,9999-09-09,-99999999999999999999,25,NA,NA,NA
CS,INTERVAL,7700,399999610028000,(-N; 28),Do 28 (méně než 28),1900-01-01,9999-09-09,-99999999999999999999,28,NA,NA,NA
CS,INTERVAL,7700,399999610030000,(-N; 30),Do 30 (méně než 30),1900-01-01,9999-09-09,-99999999999999999999,30,NA,NA,NA
CS,INTERVAL,7700,399999610035000,(-N; 35),Do 35 (méně než 35),1900-01-01,9999-09-09,-99999999999999999999,35,NA,NA,NA
CS,INTERVAL,7700,399999610037000,(-N; 37),Do 37 (méně než 37),1900-01-01,9999-09-09,-99999999999999999999,37,NA,NA,NA
CS,INTERVAL,7700,399999610040000,(-N; 40),Do 40 (méně než 40),1900-01-01,9999-09-09,-99999999999999999999,40,NA,NA,NA
CS,INTERVAL,7700,399999610050000,(-N; 50),Do 50 (méně než 50),1900-01-01,9999-09-09,-99999999999999999999,50,NA,NA,NA
CS,INTERVAL,7700,399999610057000,(-N; 57),Do 57 (méně než 57),1900-01-01,9999-09-09,-99999999999999999999,57,NA,NA,NA
CS,INTERVAL,7700,399999610060000,(-N; 60),Do 60 (méně než 60),1900-01-01,9999-09-09,-99999999999999999999,60,NA,NA,NA
CS,INTERVAL,7700,399999610096000,(-N; 96),Do 96 (méně než 96),1900-01-01,9999-09-09,-99999999999999999999,96,NA,NA,NA
CS,INTERVAL,7700,399999620100000,(-N; 100),Do 100 (méně než 100),1900-01-01,9999-09-09,-99999999999999999999,100,NA,NA,NA
CS,INTERVAL,7700,399999620120000,(-N; 120),Do 120 (méně než 120),1900-01-01,9999-09-09,-99999999999999999999,120,NA,NA,NA
CS,INTERVAL,7700,399999620200000,(-N; 200),Do 200 (méně než 200),1900-01-01,9999-09-09,-99999999999999999999,200,NA,NA,NA
CS,INTERVAL,7700,399999620450000,(-N; 450),Do 450 (méně než 450),1900-01-01,9999-09-09,-99999999999999999999,450,NA,NA,NA
CS,INTERVAL,7700,399999620500000,(-N; 500),Do 500 (méně než 500),1900-01-01,9999-09-09,-99999999999999999999,500,NA,NA,NA
CS,INTERVAL,7700,399999631000000,(-N; 1 000),Do 1 000 (méně než 1 000),1900-01-01,9999-09-09,-99999999999999999999,1000,NA,NA,NA
